id_offre,id_recruteur,titre,entreprise,description,contrat,lieu,salaire_min,salaire_max,date_debut,date_pub,cv_obligatoire,lm_obligatoire
2,3,"Dev web",BPCE,devv,CDI,70008,2000,5000,2025-05-15,2025-05-05,oui,non
3,2,"Developpeur wwen",BPCE,dcdccdccddcdd,CDI,Paris,2000,3000,2025-01-20,2025-05-05,oui,non
4,2,ddeee,BPCE,kkkkkkkkkkkkkkkkkk,CDD,70008,27,61,2025-05-28,2025-05-05,non,non
5,2,"Chef de projet IT",Capgemini,"Gestion de projets Agile",CDD,"Paris 10e",3000,4500,2025-05-20,2025-04-28,oui,oui
6,3,"Ingénieur réseau",Orange,"Administration réseaux et sécurité",CDI,Issy-les-Moulineaux,3200,4800,2025-07-01,2025-05-02,non,non
7,5,"Consultant SAP",Deloitte,"Paramétrage modules FI/CO",Alternance,"La Défense",1800,2200,2025-09-01,2025-04-30,oui,oui
8,2,"Développeur mobile","Sopra Steria","Applications iOS/Android",CDI,Nanterre,3300,4700,2025-06-15,2025-04-27,oui,non
9,3,"UX/UI Designer",Publicis,"Conception d’interfaces",CDD,"Paris 1er",2800,3500,2025-05-25,2025-05-03,non,oui
10,5,"Data Engineer",AXA,"Pipeline ETL et Big Data",CDI,"Paris 7e",4000,6000,2025-06-10,2025-05-04,oui,oui
11,2,"Responsable marketing",L’Oréal,"Stratégie digitale",CDI,Clichy,3600,5000,2025-07-01,2025-05-01,oui,non
12,3,"Technicien support",IBM,"Assistance utilisateurs",CDD,"Paris 12e",2200,2800,2025-05-18,2025-04-29,non,non
13,5,"Architecte cloud",AWS,"Design d’infrastructures cloud",CDI,"Paris 2e",5000,7500,2025-08-01,2025-05-05,oui,oui
14,2,"Business Analyst",SNCF,"Optimisation process",Alternance,Saint-Denis,1600,2000,2025-09-01,2025-04-26,oui,non
15,3,"Chargé de communication",EDF,"Campagnes réseaux sociaux",CDD,"Paris 4e",2500,3200,2025-06-01,2025-05-02,non,oui
16,4,"Développeur backend",Airbus,"API REST et microservices",CDI,Toulouse,3800,5300,2025-07-15,2025-05-03,oui,non
17,2,"Chef de produit",Danone,"Lancement de gammes",CDI,"Paris 16e",4100,5800,2025-08-01,2025-05-04,oui,oui
18,3,"Ingénieur qualité",Renault,"Tests et validation",CDD,Boulogne-Billancourt,2900,3600,2025-05-30,2025-04-28,non,non
19,5,"Lead développeur",Google,"Projets innovants",CDI,"Paris 13e",6500,9000,2025-09-01,2025-05-05,oui,oui
20,2,"Responsable RH","Air France","Gestion du personnel",CDI,"Paris 8e",3700,5200,2025-07-01,2025-05-01,oui,non
21,3,"Analyste SEO",TripAdvisor,"Optimisation référencement",CDD,"Paris 9e",2700,3400,2025-06-10,2025-05-02,non,oui
22,5,DevOps,Microsoft,"CI/CD et automatisation",CDI,Issy-les-Moulineaux,4500,6500,2025-07-15,2025-05-03,oui,oui
23,2,Graphiste,Ubisoft,"Création d’assets 2D/3D",CDD,Montreuil,2600,3300,2025-06-01,2025-05-04,non,non
24,4,"Stage Finance de marché",Natixis,"Structuration d’instruments financiers",Stage,"Paris 8e",1000,1400,2025-06-01,2025-05-05,non,non
25,5,"Technicien de maintenance",Thales,"Maintenance équipements électroniques",CDD,Vélizy-Villacoublay,2400,3100,2025-05-20,2025-05-06,non,non
26,5,"Consultant Big Data",Capgemini,"Mise en place de solutions Hadoop",Alternance,"Paris 7e",1700,2100,2025-09-01,2025-05-06,oui,oui
27,2,"Rédacteur web SEO","Le Figaro","Création de contenus optimisés",CDD,"Paris 9e",2600,3300,2025-07-01,2025-05-06,non,oui
